userId;Aventura;Fantas¡a;Animaci¢n;Drama;Terror;Acción;Comedia;Historica;Oeste;Suspense;Crimen;Documental;Ciencia ficción;Misterio;Musical;Romance;Familiar;Guerra;Extranjera;TV
1;0.0;0.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2;4.0;2.0;1.0;15.0;2.0;5.0;8.0;0.0;0.0;5.0;6.0;1.0;4.0;3.0;1.0;4.0;2.0;0.0;0.0;0.0
3;1.0;1.0;0.0;7.0;2.0;1.0;2.0;0.0;0.0;3.0;4.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0
4;9.0;5.0;2.0;42.0;7.0;18.0;15.0;2.0;0.0;23.0;13.0;0.0;13.0;6.0;3.0;13.0;3.0;3.0;1.0;0.0
5;2.0;4.0;0.0;16.0;6.0;4.0;11.0;1.0;2.0;8.0;6.0;3.0;3.0;3.0;1.0;5.0;2.0;0.0;1.0;0.0
6;2.0;1.0;0.0;9.0;0.0;4.0;4.0;0.0;1.0;5.0;3.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0
7;4.0;3.0;0.0;16.0;3.0;3.0;1.0;1.0;0.0;3.0;4.0;0.0;1.0;4.0;2.0;3.0;1.0;0.0;0.0;0.0
8;1.0;0.0;1.0;12.0;2.0;6.0;8.0;0.0;1.0;6.0;2.0;0.0;2.0;2.0;1.0;6.0;1.0;0.0;0.0;0.0
9;2.0;2.0;0.0;9.0;1.0;5.0;5.0;0.0;0.0;5.0;3.0;1.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0
10;2.0;1.0;0.0;4.0;2.0;2.0;2.0;1.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0
11;0.0;0.0;0.0;3.0;1.0;2.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
12;3.0;1.0;1.0;4.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
13;1.0;3.0;2.0;8.0;2.0;1.0;4.0;0.0;1.0;4.0;2.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0
14;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0
15;34.0;23.0;5.0;142.0;30.0;49.0;80.0;15.0;6.0;79.0;48.0;6.0;25.0;24.0;12.0;61.0;21.0;10.0;4.0;3.0
16;0.0;0.0;0.0;7.0;0.0;0.0;3.0;0.0;0.0;4.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
17;13.0;5.0;0.0;41.0;9.0;16.0;18.0;2.0;5.0;28.0;16.0;0.0;10.0;9.0;0.0;10.0;3.0;3.0;0.0;1.0
18;7.0;3.0;0.0;4.0;4.0;6.0;4.0;0.0;0.0;5.0;3.0;1.0;3.0;5.0;1.0;1.0;0.0;1.0;0.0;0.0
19;20.0;9.0;5.0;76.0;13.0;30.0;35.0;5.0;1.0;45.0;34.0;3.0;16.0;21.0;3.0;24.0;12.0;0.0;0.0;0.0
20;3.0;3.0;0.0;16.0;2.0;4.0;6.0;0.0;0.0;9.0;8.0;0.0;4.0;4.0;0.0;4.0;1.0;0.0;0.0;0.0
21;9.0;4.0;3.0;28.0;6.0;11.0;10.0;1.0;0.0;16.0;12.0;1.0;8.0;7.0;2.0;12.0;5.0;1.0;0.0;0.0
22;6.0;4.0;0.0;28.0;4.0;8.0;15.0;3.0;1.0;11.0;11.0;0.0;5.0;5.0;2.0;11.0;3.0;0.0;0.0;2.0
