userId;Aventura;Fantasía;Animación;Drama;Terror;Acción;Comedia;Historica;Oeste;Suspense;Crimen;Documental;Ciencia ficción;Misterio;Musical;Romance;Familiar;Guerra;Extranjera;TV
1;;;;1,5;;;2,0;0,5;;;;;;;;2,0;;;;
2;1,4375;1,25;1,6666666666666667;1,6944444444444444;2,3333333333333335;1,6666666666666667;1,3229166666666665;;;1,45;1,4583333333333333;1,0;1,2708333333333333;0,9722222222222223;1,0;1,6666666666666665;1,2083333333333335;;;
3;0,8;0,8;;1,8571428571428572;2,0;0,875;4,25;;;1,4166666666666667;1,125;;0,8;1,125;;;0,8;;;0,8
4;1,2777777777777777;1,3266666666666667;0,8333333333333334;2,0892857142857144;1,5785714285714287;1,2851851851851852;2,561111111111111;1,625;;1,2485507246376812;1,5128205128205126;;1,3051282051282054;1,513888888888889;2,0;1,5448717948717947;1,0;1,4166666666666667;0,8333333333333334;
5;0,9583333333333334;1,4083333333333332;;1,9666666666666666;1,9388888888888889;1,275;1,7545454545454546;1,3333333333333333;2,125;1,5437500000000002;1,7583333333333335;2,0833333333333335;1,2944444444444445;1,5277777777777777;2,0;1,4833333333333334;1,1666666666666667;;2,0;
6;0,8333333333333333;0,6666666666666666;;2,087962962962963;;1,0;0,7604166666666666;;4,0;1,0;1,0;2,0;1,3333333333333333;;;1,625;0,375;;;0,375
7;1,3333333333333333;1,222222222222222;;2,078125;2,111111111111111;1,2777777777777777;0,75;2,5;;1,888888888888889;1,3333333333333333;;1,5;1,5416666666666667;0,875;1,1944444444444444;1,3333333333333333;;;
8;1,0;;1,125;2,284722222222222;2,25;1,1319444444444444;2,03125;;1,1666666666666667;1,3819444444444444;1,7083333333333335;;1,2291666666666665;1,1666666666666667;2,0;1,5416666666666667;1,0;;;
9;1,375;1,4166666666666665;;2,166666666666666;1,3333333333333333;1,3166666666666667;1,7166666666666668;;;1,4666666666666666;1,5555555555555554;4,0;1,4166666666666667;1,2777777777777777;2,0;1,3333333333333333;;;;
10;0,875;0,5;;1,4375;2,5;0,875;0,875;1,0;;;1,0;;1,25;1,75;;;0,5;;;
11;;;;1,3333333333333333;5,0;1,5;;1,1666666666666667;;1,5;1,5;;1,6666666666666667;;;;;1,1666666666666667;;
12;0,5;0,3333333333333333;1,0;1,5;;0,5833333333333333;0,75;;;0,6666666666666666;;;0,5;;2,0;1,0;0,3333333333333333;;;
13;1,0;0,9722222222222222;0,9583333333333333;2,4895833333333335;1,2916666666666667;1,3333333333333333;1,4166666666666665;;3,0;2,0416666666666665;1,3333333333333335;1,75;0,5833333333333334;1,1666666666666667;;2,0;1,3333333333333333;;;
14;;;;1,6666666666666667;;1,5;;;4,0;1,5;;;;;;1,6666666666666667;;1,6666666666666667;;
15;0,8137254901960782;0,8539855072463768;1,175;1,3708920187793425;1,2022222222222223;1,0268707482993198;1,3120833333333333;1,3566666666666667;1,8194444444444446;1,0507383966244725;0,9953124999999998;1,7916666666666667;1,0106666666666666;1,0909722222222222;1,1666666666666667;1,1775956284153006;0,8575396825396825;1,1833333333333333;1,44375;0,8666666666666667
16;;;;2,261904761904762;;;2,2222222222222223;;;1,5833333333333333;1,1666666666666665;;;1,0;;1,3333333333333333;;;;
17;1,1358974358974359;1,0666666666666669;;1,8628048780487805;1,8564814814814818;1,1026041666666666;1,9486111111111113;1,25;1,85;1,2133928571428572;1,3145833333333334;;1,3649999999999998;1,113888888888889;;1,5625;1,2777777777777777;1,236111111111111;;1,0
18;0,9547619047619047;0,7777777777777778;;1,8333333333333333;1,3333333333333333;1,0027777777777778;1,0;;;1,0033333333333334;1,3666666666666665;3,0;1,0277777777777777;1,1199999999999997;2,0;2,0;;2,5;;
19;0,9341666666666667;1,2407407407407407;1,3666666666666667;1,7578947368421052;1,532051282051282;1,0455555555555558;1,421904761904762;1,0;5,0;1,124814814814815;1,197058823529412;4,0;1,078125;1,2269841269841268;1,25;1,1979166666666667;1,152777777777778;;;
20;0,9444444444444443;1,3333333333333333;;1,5687499999999999;1,375;0,8166666666666667;1,5166666666666666;;;1,1407407407407408;1,325;;0,9166666666666666;1,4375;;1,3333333333333333;1,3333333333333333;;;
21;1,0648148148148147;0,9166666666666666;1,3888888888888886;1,6398809523809523;2,1944444444444446;1,053030303030303;1,4583333333333333;1,3333333333333333;;1,0260416666666665;1,0694444444444444;3,0;1,0625;1,380952380952381;1,125;1,3611111111111114;1,25;0,75;;
22;1,3305555555555555;1,1625;;1,517857142857143;1,375;1,3333333333333333;1,6333333333333333;1,1666666666666667;1,75;1,3181818181818181;1,4924242424242422;;1,1466666666666667;1,2333333333333332;1,875;1,196969696969697;0,8555555555555555;;;1,575
23;1,0197916666666667;1,1762820512820513;1,3516666666666668;1,7666666666666664;1,6541666666666663;1,089784946236559;1,9892361111111112;1,6666666666666665;2,2083333333333335;1,1636904761904763;1,2547619047619047;1,9583333333333333;1,0700980392156862;1,1651041666666666;1,4731481481481483;1,2819444444444446;1,0881944444444442;;0,55;1,0
